# LAMMPS data file written by OVITO Pro 3.4.4
2592 atoms
2 atom types
-5.02778179 25.13890895 xlo xhi
-8.7083735096 26.1251205288 ylo yhi
-11.03783518 22.07567036 zlo zhi
-20.11112716 0.0 0.0 xy xz yz

Atoms  # atomic

1 2 -6.2276242058 -6.6301854843 -6.438739028
2 2 -3.7137333108 -6.4323747801 -8.2783782246
3 2 -2.6280969584 -8.7083735096 -10.1180174213
4 1 -6.0942497244 -5.4614303214 -10.8317422404
5 1 -4.7925922134 -6.9012466724 -7.1524638471
6 1 -4.1965034322 -5.0540700254 -8.9921030438
7 1 -1.6826125372 -8.008490239 -5.7250105296
8 1 -3.5803588294 -7.601129943 -9.4042889229
9 1 -2.2787013184 -6.161313592 -7.5646497262
10 2 -8.7415151008 -2.2759987295 -6.438739028
11 2 -6.2276242058 -2.0781880253 -8.2783782246
12 2 -5.1419878534 -4.3541867548 -10.1180174213
13 1 -8.6081406194 -1.1072435666 -10.8317422404
14 1 -7.3064831084 -2.5470599176 -7.1524638471
15 1 -6.7103943272 -0.6998832706 -8.9921030438
16 1 -4.1965034322 -3.6543034842 -5.7250105296
17 1 -6.0942497244 -3.2469431882 -9.4042889229
18 1 -4.7925922134 -1.8071268372 -7.5646497262
19 2 -6.2276242058 -6.6301854843 -0.919821438
20 2 -3.7137333108 -6.4323747801 -2.7594606346
21 2 -2.6280969584 -8.7083735096 -4.5990998313
22 1 -6.0942497244 -5.4614303214 -5.3128246504
23 1 -4.7925922134 -6.9012466724 -1.6335462571
24 1 -4.1965034322 -5.0540700254 -3.4731854538
25 1 -1.6826125372 -8.008490239 -0.2060929396
26 1 -3.5803588294 -7.601129943 -3.8853713329
27 1 -2.2787013184 -6.161313592 -2.0457321362
28 2 -8.7415151008 -2.2759987295 -0.919821438
29 2 -6.2276242058 -2.0781880253 -2.7594606346
30 2 -5.1419878534 -4.3541867548 -4.5990998313
31 1 -8.6081406194 -1.1072435666 -5.3128246504
32 1 -7.3064831084 -2.5470599176 -1.6335462571
33 1 -6.7103943272 -0.6998832706 -3.4731854538
34 1 -4.1965034322 -3.6543034842 -0.2060929396
35 1 -6.0942497244 -3.2469431882 -3.8853713329
36 1 -4.7925922134 -1.8071268372 -2.0457321362
